rowID,stamp,datetime,hum,newhum,co2
172998,1497825374,2017/6/18 22:36,63.2,36.8,33.8
174000,1497825375,2017/6/18 22:36,63.2,36.8,33.8
174999,1497825376,2017/6/18 22:36,63.2,36.8,33.8
175998,1497825377,2017/6/18 22:36,63.2,36.8,33.8
176999,1497825378,2017/6/18 22:36,63.2,36.8,33.8
177999,1497825379,2017/6/18 22:36,63.2,36.8,33.8
179000,1497825380,2017/6/18 22:36,63.2,36.8,33.8
179998,1497825381,2017/6/18 22:36,63.2,36.8,33.8
181000,1497825382,2017/6/18 22:36,63.2,36.8,33.8
181999,1497825383,2017/6/18 22:36,63.2,36.8,33.8
183000,1497825384,2017/6/18 22:36,63.2,36.8,33.8
183999,1497825385,2017/6/18 22:36,63.2,36.8,33.8
184999,1497825386,2017/6/18 22:36,63.2,36.8,33.8
185999,1497825387,2017/6/18 22:36,63.2,36.8,33.8
186998,1497825388,2017/6/18 22:36,63.2,36.8,33.8
188000,1497825389,2017/6/18 22:36,63.3,36.7,33.7
188999,1497825390,2017/6/18 22:36,63.3,36.7,33.7
190000,1497825391,2017/6/18 22:36,63.3,36.7,33.7
190998,1497825392,2017/6/18 22:36,63.3,36.7,33.7
192001,1497825393,2017/6/18 22:36,63.3,36.7,33.7
192999,1497825394,2017/6/18 22:36,63.4,36.6,33.6
193999,1497825395,2017/6/18 22:36,63.4,36.6,33.6
194999,1497825396,2017/6/18 22:36,63.4,36.6,33.6
195999,1497825397,2017/6/18 22:36,63.4,36.6,33.6
196999,1497825398,2017/6/18 22:36,63.4,36.6,33.6
197999,1497825399,2017/6/18 22:36,63.3,36.7,33.7
198999,1497825400,2017/6/18 22:36,63.3,36.7,33.7
199998,1497825401,2017/6/18 22:36,63.3,36.7,33.7
200999,1497825402,2017/6/18 22:36,63.4,36.6,33.6
202000,1497825403,2017/6/18 22:36,63.4,36.6,33.6
202999,1497825404,2017/6/18 22:36,63.4,36.6,33.6
203999,1497825405,2017/6/18 22:36,63.5,36.5,33.5
205000,1497825406,2017/6/18 22:36,63.5,36.5,33.5
205999,1497825407,2017/6/18 22:36,63.4,36.6,33.6
206999,1497825408,2017/6/18 22:36,63.4,36.6,33.6
207998,1497825409,2017/6/18 22:36,63.4,36.6,33.6
208999,1497825410,2017/6/18 22:36,63.4,36.6,33.6
209999,1497825411,2017/6/18 22:36,63.5,36.5,33.5
211000,1497825412,2017/6/18 22:36,63.5,36.5,33.5
211998,1497825413,2017/6/18 22:36,63.5,36.5,33.5
213000,1497825414,2017/6/18 22:36,63.5,36.5,33.5
213999,1497825415,2017/6/18 22:36,63.5,36.5,33.5
214999,1497825416,2017/6/18 22:36,63.7,36.3,33.3
215999,1497825417,2017/6/18 22:36,63.7,36.3,33.3
216998,1497825418,2017/6/18 22:36,63.8,36.2,33.2
217999,1497825419,2017/6/18 22:36,63.8,36.2,33.2
218998,1497825420,2017/6/18 22:37,63.7,36.3,33.3
219999,1497825421,2017/6/18 22:37,63.7,36.3,33.3
220999,1497825422,2017/6/18 22:37,63.8,36.2,33.2
221999,1497825423,2017/6/18 22:37,63.8,36.2,33.2
222999,1497825424,2017/6/18 22:37,63.8,36.2,33.2
224000,1497825425,2017/6/18 22:37,63.8,36.2,33.2
224999,1497825426,2017/6/18 22:37,63.8,36.2,33.2
225998,1497825427,2017/6/18 22:37,63.8,36.2,33.2
226999,1497825428,2017/6/18 22:37,63.8,36.2,33.2
227998,1497825429,2017/6/18 22:37,63.8,36.2,33.2
228999,1497825430,2017/6/18 22:37,63.8,36.2,33.2
229998,1497825431,2017/6/18 22:37,63.8,36.2,33.2
230999,1497825432,2017/6/18 22:37,63.8,36.2,33.2
231999,1497825433,2017/6/18 22:37,63.8,36.2,33.2
232998,1497825434,2017/6/18 22:37,63.8,36.2,33.2
233999,1497825435,2017/6/18 22:37,63.8,36.2,33.2
234999,1497825436,2017/6/18 22:37,63.7,36.3,33.3
235999,1497825437,2017/6/18 22:37,63.7,36.3,33.3
236998,1497825438,2017/6/18 22:37,63.7,36.3,33.3
237999,1497825439,2017/6/18 22:37,63.7,36.3,33.3
238999,1497825440,2017/6/18 22:37,63.7,36.3,33.3
239998,1497825441,2017/6/18 22:37,63.7,36.3,33.3
240999,1497825442,2017/6/18 22:37,63.8,36.2,33.2
242000,1497825443,2017/6/18 22:37,63.8,36.2,33.2
242999,1497825444,2017/6/18 22:37,63.8,36.2,33.2
244000,1497825445,2017/6/18 22:37,63.8,36.2,33.2
245000,1497825446,2017/6/18 22:37,63.8,36.2,33.2
245998,1497825447,2017/6/18 22:37,63.8,36.2,33.2
246999,1497825448,2017/6/18 22:37,63.8,36.2,33.2
248000,1497825449,2017/6/18 22:37,63.8,36.2,33.2
248999,1497825450,2017/6/18 22:37,63.8,36.2,33.2
250000,1497825451,2017/6/18 22:37,63.8,36.2,33.2
250999,1497825452,2017/6/18 22:37,63.8,36.2,33.2
251999,1497825453,2017/6/18 22:37,63.8,36.2,33.2
252999,1497825454,2017/6/18 22:37,63.9,36.1,33.1
253999,1497825455,2017/6/18 22:37,63.9,36.1,33.1
255000,1497825456,2017/6/18 22:37,64,36,33
255998,1497825457,2017/6/18 22:37,64,36,33
257000,1497825458,2017/6/18 22:37,64.1,35.9,32.9
257999,1497825459,2017/6/18 22:37,64.1,35.9,32.9
259000,1497825460,2017/6/18 22:37,64.1,35.9,32.9
259999,1497825461,2017/6/18 22:37,64.1,35.9,32.9
260999,1497825462,2017/6/18 22:37,64.1,35.9,32.9
261999,1497825463,2017/6/18 22:37,64.2,35.8,32.8
262999,1497825464,2017/6/18 22:37,64.2,35.8,32.8
264000,1497825465,2017/6/18 22:37,64.2,35.8,32.8
264999,1497825466,2017/6/18 22:37,64.2,35.8,32.8
266000,1497825467,2017/6/18 22:37,64.2,35.8,32.8
267000,1497825468,2017/6/18 22:37,64.2,35.8,32.8
267999,1497825469,2017/6/18 22:37,64.2,35.8,32.8
268998,1497825470,2017/6/18 22:37,64.2,35.8,32.8
269999,1497825471,2017/6/18 22:37,64.2,35.8,32.8
271000,1497825472,2017/6/18 22:37,64.2,35.8,32.8
272000,1497825473,2017/6/18 22:37,64.2,35.8,32.8
272999,1497825474,2017/6/18 22:37,64.2,35.8,32.8
273999,1497825475,2017/6/18 22:37,64.2,35.8,32.8
274999,1497825476,2017/6/18 22:37,64.2,35.8,32.8
275999,1497825477,2017/6/18 22:37,64.2,35.8,32.8
276999,1497825478,2017/6/18 22:37,64.2,35.8,32.8
277999,1497825479,2017/6/18 22:37,64.2,35.8,32.8
278999,1497825480,2017/6/18 22:38,64.2,35.8,32.8
